episode,timestep,reward
1,10,36.796
3,20,42.206
5,30,37.042
7,40,40.951
9,50,40.796
11,60,37.525
13,70,37.948
15,80,37.915
17,90,35.141
19,100,39.105
21,110,39.062
23,120,39.029
25,130,40.577
27,140,35.626
29,150,34.472
31,160,37.499
33,170,33.978
35,180,37.9
37,190,37.575
39,200,34.687
41,210,32.82
43,220,38.701
45,230,37.761
47,240,36.558
49,250,39.993
51,260,37.843
53,270,39.552
55,280,38.612
57,290,39.585
59,300,37.078
61,310,36.284
63,320,42.374
65,330,37.232
67,340,36.376
69,350,39.957
71,360,36.85
73,370,38.64
75,380,34.973
77,390,39.372
79,400,40.639
81,410,38.426
83,420,39.859
85,430,37.731
87,440,32.799
89,450,37.349
91,460,37.391
93,470,37.276
95,480,38.923
97,490,37.038
99,500,37.292
101,510,33.433
103,520,32.718
105,530,33.984
107,540,33.047
109,550,29.513
