episode,timestep,reward
1,20,41.526
3,40,43.179
5,60,41.549
7,80,39.135
9,100,37.921
11,120,41.328
13,140,39.08
15,160,36.161
17,180,41.697
19,200,37.558
21,220,38.959
23,240,38.001
25,260,38.085
27,280,36.924
29,300,38.173
31,320,36.669
33,340,38.318
35,360,40.859
37,380,40.683
39,400,38.491
41,420,39.095
43,440,40.581
45,460,41.229
47,480,39.057
49,500,39.786
51,520,42.716
53,540,39.816
55,560,37.245
57,580,37.273
59,600,39.514
61,620,38.622
63,640,40.307
65,660,39.318
67,680,40.691
69,700,40.328
71,720,39.54
73,740,39.286
75,760,38.817
77,780,40.921
79,800,38.054
81,820,39.682
83,840,38.193
85,860,41.617
87,880,41.429
89,900,36.59
91,920,36.955
93,940,39.089
95,960,38.186
97,980,40.88
99,1000,37.751
101,1020,39.012
103,1040,40.076
105,1060,39.267
107,1080,41.871
109,1100,40.662
111,1120,38.604
113,1140,39.135
115,1160,40.096
117,1180,40.041
119,1200,38.561
121,1220,37.029
123,1240,42.201
125,1260,38.725
127,1280,40.911
129,1300,36.936
131,1320,39.814
133,1340,37.683
135,1360,38.005
137,1380,35.889
139,1400,39.109
141,1420,37.524
143,1440,40.673
145,1460,38.458
147,1480,37.645
149,1500,42.04
151,1520,42.158
153,1540,38.855
155,1560,37.866
157,1580,41.449
159,1600,38.732
161,1620,39.707
163,1640,42.852
165,1660,39.407
167,1680,36.21
169,1700,42.257
171,1720,38.418
173,1740,42.395
175,1760,37.617
177,1780,41.402
179,1800,35.125
181,1820,40.145
183,1840,39.305
185,1860,36.413
187,1880,36.237
189,1900,36.608
191,1920,38.258
193,1940,36.187
195,1960,36.428
197,1980,35.491
199,2000,37.797
201,2020,39.268
203,2040,35.887
205,2060,39.794
207,2080,40.117
209,2100,40.09
211,2120,36.883
213,2140,37.734
215,2160,40.668
217,2180,38.9
219,2200,40.881
221,2220,39.468
223,2240,39.348
225,2260,41.863
227,2280,34.557
229,2300,39.884
231,2320,39.377
233,2340,38.691
235,2360,40.929
237,2380,38.361
239,2400,37.59
241,2420,39.619
243,2440,36.544
245,2460,40.563
247,2480,41.226
249,2500,37.807
251,2520,37.328
253,2540,36.91
255,2560,35.873
257,2580,38.772
259,2600,39.687
261,2620,38.957
263,2640,39.596
265,2660,39.234
267,2680,40.235
269,2700,38.987
271,2720,39.139
273,2740,35.679
275,2760,37.288
277,2780,37.819
279,2800,34.575
281,2820,36.528
283,2840,38.237
285,2860,40.202
287,2880,35.494
289,2900,36.423
291,2920,37.161
293,2940,40.045
295,2960,35.807
297,2980,36.856
299,3000,37.365
301,3020,38.25
303,3040,38.269
305,3060,39.156
307,3080,37.341
309,3100,36.438
311,3120,36.443
313,3140,36.732
315,3160,39.818
317,3180,36.569
319,3200,40.743
321,3220,39.076
323,3240,38.334
325,3260,37.945
327,3280,39.463
329,3300,37.316
331,3320,36.184
333,3340,35.692
335,3360,37.226
337,3380,34.375
339,3400,39.303
341,3420,36.221
343,3440,35.716
345,3460,38.403
347,3480,36.158
349,3500,36.584
351,3520,39.253
353,3540,35.987
355,3560,35.542
357,3580,39.014
359,3600,36.863
361,3620,36.5
363,3640,37.374
365,3660,37.167
367,3680,37.265
369,3700,36.784
371,3720,37.171
373,3740,35.525
375,3760,36.813
377,3780,34.53
379,3800,35.169
381,3820,38.841
383,3840,36.572
385,3860,39.796
387,3880,41.142
389,3900,30.398
391,3920,34.462
393,3940,36.949
395,3960,35.323
397,3980,37.112
399,4000,36.514
401,4020,38.043
403,4040,40.561
405,4060,37.699
407,4080,39.293
409,4100,38.329
411,4120,41.408
413,4140,39.827
415,4160,41.373
417,4180,37.841
419,4200,43.362
421,4220,37.204
423,4240,38.875
425,4260,41.831
427,4280,39.269
429,4300,38.414
431,4320,37.213
433,4340,36.528
435,4360,38.176
437,4380,38.94
439,4400,38.938
441,4420,42.221
443,4440,39.667
445,4460,38.5
447,4480,40.015
449,4500,37.99
451,4520,39.148
453,4540,36.882
455,4560,38.388
457,4580,37.238
459,4600,38.008
461,4620,41.244
463,4640,40.252
465,4660,38.632
467,4680,41.29
469,4700,41.989
471,4720,39.679
473,4740,40.264
475,4760,36.52
477,4780,40.678
479,4800,39.796
481,4820,41.902
483,4840,36.085
485,4860,41.639
487,4880,37.993
489,4900,39.429
491,4920,38.82
493,4940,39.051
495,4960,37.181
497,4980,40.447
499,5000,40.074
501,5020,37.806
503,5040,38.796
505,5060,39.474
507,5080,38.719
509,5100,38.227
511,5120,39.364
513,5140,40.187
515,5160,40.229
517,5180,38.362
519,5200,43.822
521,5220,40.508
523,5240,39.452
525,5260,40.996
527,5280,38.614
529,5300,40.458
531,5320,38.07
533,5340,38.595
535,5360,41.207
537,5380,35.499
539,5400,36.972
541,5420,42.516
543,5440,39.761
545,5460,40.642
547,5480,37.595
549,5500,41.084
551,5520,41.65
553,5540,42.053
555,5560,40.547
557,5580,39.955
559,5600,39.98
561,5620,39.212
563,5640,39.835
565,5660,38.93
567,5680,40.843
569,5700,37.956
571,5720,44.826
573,5740,42.319
575,5760,41.138
577,5780,40.584
579,5800,39.833
581,5820,41.026
583,5840,38.285
585,5860,41.247
587,5880,38.959
589,5900,39.46
591,5920,40.569
593,5940,40.488
595,5960,40.912
597,5980,39.273
599,6000,38.544
601,6020,40.595
603,6040,40.445
605,6060,39.508
607,6080,37.471
609,6100,39.119
611,6120,42.502
613,6140,40.817
615,6160,37.934
617,6180,38.351
619,6200,37.951
621,6220,38.257
623,6240,38.436
625,6260,41.912
627,6280,36.402
629,6300,37.896
631,6320,36.186
633,6340,40.82
635,6360,40.22
637,6380,36.495
639,6400,38.798
641,6420,41.872
643,6440,37.566
645,6460,40.221
647,6480,39.257
649,6500,41.565
651,6520,40.177
653,6540,37.559
655,6560,40.847
657,6580,36.131
659,6600,43.862
661,6620,37.934
663,6640,38.367
665,6660,37.087
667,6680,38.664
669,6700,38.063
671,6720,34.989
673,6740,38.686
675,6760,40.063
677,6780,38.04
679,6800,38.972
681,6820,36.051
683,6840,36.506
685,6860,38.897
687,6880,37.884
689,6900,34.564
691,6920,37.315
693,6940,39.02
695,6960,40.363
697,6980,34.936
699,7000,34.0
701,7020,37.658
703,7040,37.858
705,7060,37.616
707,7080,41.4
709,7100,40.568
711,7120,35.696
713,7140,40.115
715,7160,41.212
717,7180,38.561
719,7200,37.556
721,7220,40.115
723,7240,33.314
725,7260,37.581
727,7280,40.232
729,7300,34.091
731,7320,37.901
733,7340,40.418
735,7360,35.544
737,7380,37.007
739,7400,38.167
741,7420,36.833
743,7440,34.608
745,7460,41.245
747,7480,39.812
749,7500,42.884
751,7520,34.905
753,7540,38.113
755,7560,36.436
757,7580,37.442
759,7600,38.799
761,7620,37.422
763,7640,38.648
765,7660,35.872
767,7680,39.308
769,7700,38.617
771,7720,38.822
773,7740,40.575
775,7760,37.975
777,7780,37.321
779,7800,35.828
781,7820,39.763
783,7840,35.829
785,7860,36.863
787,7880,36.83
789,7900,42.685
791,7920,38.958
793,7940,38.476
795,7960,38.1
797,7980,37.133
799,8000,38.082
801,8020,36.383
803,8040,35.241
805,8060,40.712
807,8080,39.864
809,8100,42.155
811,8120,38.723
813,8140,38.688
815,8160,36.075
817,8180,38.097
819,8200,38.899
821,8220,44.242
823,8240,42.342
825,8260,39.016
827,8280,35.498
829,8300,37.674
831,8320,37.483
833,8340,38.326
835,8360,41.503
837,8380,35.559
839,8400,38.185
841,8420,40.235
843,8440,39.208
845,8460,37.725
847,8480,36.371
849,8500,39.537
851,8520,36.442
853,8540,39.078
855,8560,37.767
857,8580,38.72
859,8600,37.693
861,8620,34.357
863,8640,42.112
865,8660,36.607
867,8680,38.928
869,8700,41.562
871,8720,39.675
873,8740,38.401
875,8760,38.711
877,8780,37.932
879,8800,37.473
881,8820,35.912
883,8840,38.734
885,8860,36.932
887,8880,38.886
889,8900,35.553
891,8920,36.284
893,8940,36.183
895,8960,38.059
897,8980,37.699
899,9000,39.817
901,9020,35.782
903,9040,37.783
905,9060,36.417
907,9080,37.957
909,9100,39.983
