episode,timestep,reward
1,10,37.704
3,20,39.906
5,30,38.379
7,40,37.215
9,50,35.326
11,60,38.111
13,70,35.411
15,80,37.089
17,90,36.972
19,100,37.799
21,110,36.951
23,120,39.676
25,130,37.202
27,140,35.35
29,150,38.545
31,160,37.866
33,170,35.362
35,180,37.204
37,190,37.612
39,200,40.663
41,210,41.077
43,220,36.381
45,230,38.606
47,240,39.491
49,250,40.944
51,260,38.671
53,270,42.12
55,280,42.336
57,290,42.566
59,300,41.603
61,310,38.228
63,320,38.75
65,330,40.055
67,340,38.214
69,350,40.315
71,360,38.576
73,370,35.481
75,380,39.33
77,390,37.665
79,400,40.014
81,410,39.532
83,420,39.355
85,430,41.256
87,440,39.506
89,450,41.395
91,460,38.497
93,470,37.973
95,480,38.748
97,490,41.23
99,500,39.108
101,510,37.21
103,520,36.652
105,530,37.314
107,540,40.144
109,550,41.203
111,560,35.469
113,570,38.189
115,580,37.426
117,590,41.62
119,600,40.861
121,610,43.14
123,620,36.801
125,630,39.839
127,640,37.557
129,650,37.679
131,660,40.5
133,670,40.996
135,680,35.241
137,690,40.227
139,700,41.768
141,710,42.315
143,720,37.762
145,730,42.026
147,740,40.984
149,750,36.765
151,760,39.019
153,770,39.573
155,780,37.648
157,790,41.843
159,800,40.645
161,810,41.495
163,820,37.206
165,830,38.763
167,840,35.331
169,850,36.324
171,860,38.421
173,870,36.266
175,880,35.97
177,890,40.208
179,900,35.704
181,910,39.866
183,920,34.774
185,930,35.983
187,940,37.672
189,950,38.414
191,960,36.736
193,970,41.483
195,980,36.189
197,990,36.466
199,1000,41.878
201,1010,38.911
203,1020,38.724
205,1030,37.732
207,1040,36.901
209,1050,36.269
211,1060,38.009
213,1070,35.777
215,1080,41.084
217,1090,38.887
219,1100,33.576
221,1110,35.768
223,1120,42.671
225,1130,37.465
227,1140,35.292
229,1150,36.363
231,1160,42.37
233,1170,37.241
235,1180,37.197
237,1190,35.546
239,1200,38.175
241,1210,35.029
243,1220,38.536
245,1230,37.721
247,1240,37.144
249,1250,35.711
251,1260,36.935
253,1270,39.753
255,1280,38.464
257,1290,37.876
259,1300,35.41
261,1310,40.339
263,1320,36.052
265,1330,35.346
267,1340,36.462
269,1350,38.416
271,1360,38.317
273,1370,31.133
275,1380,32.911
277,1390,32.207
279,1400,38.207
281,1410,35.281
283,1420,37.862
285,1430,36.959
287,1440,40.4
289,1450,36.952
291,1460,39.589
293,1470,37.192
295,1480,36.834
297,1490,36.087
299,1500,36.777
301,1510,32.076
303,1520,33.089
305,1530,36.785
307,1540,34.237
309,1550,32.01
311,1560,40.011
313,1570,35.926
315,1580,39.033
317,1590,35.334
319,1600,38.758
321,1610,34.992
323,1620,36.688
325,1630,38.554
327,1640,39.753
329,1650,38.832
331,1660,38.325
333,1670,38.799
335,1680,36.317
337,1690,40.918
339,1700,37.267
341,1710,38.816
343,1720,38.48
345,1730,37.678
347,1740,38.743
349,1750,40.312
351,1760,41.742
353,1770,34.149
355,1780,36.969
357,1790,37.811
359,1800,36.318
361,1810,36.212
363,1820,38.896
365,1830,38.361
367,1840,40.447
369,1850,43.192
371,1860,41.154
373,1870,37.378
375,1880,36.861
377,1890,38.31
379,1900,39.372
381,1910,38.95
383,1920,42.767
385,1930,37.675
387,1940,37.501
389,1950,37.905
391,1960,38.755
393,1970,37.706
395,1980,36.59
397,1990,33.117
399,2000,40.962
401,2010,37.324
403,2020,38.378
405,2030,32.184
407,2040,38.077
409,2050,39.281
411,2060,37.933
413,2070,35.454
415,2080,41.967
417,2090,36.634
419,2100,40.466
421,2110,39.389
423,2120,37.872
425,2130,39.165
427,2140,40.004
429,2150,37.902
431,2160,37.088
433,2170,40.9
435,2180,35.874
437,2190,40.704
439,2200,40.792
441,2210,37.754
443,2220,39.923
445,2230,38.28
447,2240,38.908
449,2250,35.339
451,2260,35.767
453,2270,36.512
455,2280,38.977
457,2290,36.901
