episode,timestep,reward
1,10,35.884
3,20,37.763
5,30,38.911
7,40,36.185
9,50,37.65
11,60,38.561
13,70,33.821
15,80,38.833
17,90,35.33
19,100,37.258
21,110,37.049
23,120,30.632
25,130,39.054
27,140,36.228
29,150,35.233
31,160,39.536
33,170,36.057
35,180,35.178
37,190,37.027
39,200,38.099
41,210,39.173
43,220,39.772
45,230,38.379
47,240,35.181
49,250,36.838
51,260,38.015
53,270,33.673
55,280,36.042
57,290,35.121
59,300,35.051
61,310,37.001
63,320,40.187
65,330,38.862
67,340,34.527
69,350,41.938
71,360,37.808
73,370,38.428
75,380,33.622
77,390,38.145
79,400,36.954
81,410,37.258
83,420,40.205
85,430,36.494
87,440,39.727
89,450,39.11
91,460,35.719
93,470,39.993
95,480,39.046
97,490,38.864
99,500,36.252
101,510,38.865
103,520,39.056
105,530,39.272
107,540,38.648
109,550,36.923
111,560,37.09
113,570,39.48
115,580,41.28
117,590,38.132
119,600,36.635
121,610,43.661
123,620,39.283
125,630,38.232
127,640,39.405
129,650,39.901
131,660,39.451
133,670,34.89
135,680,41.276
137,690,38.415
139,700,36.993
141,710,36.02
143,720,37.974
145,730,37.783
147,740,40.696
149,750,36.246
151,760,38.02
153,770,36.9
155,780,41.382
157,790,35.861
159,800,36.751
161,810,34.973
163,820,39.023
165,830,36.127
167,840,38.485
169,850,39.085
171,860,38.357
173,870,39.417
175,880,36.918
177,890,32.498
179,900,38.323
181,910,37.122
183,920,38.4
185,930,38.309
187,940,34.825
189,950,37.34
191,960,39.708
193,970,35.391
195,980,39.628
197,990,36.471
199,1000,34.32
201,1010,38.288
203,1020,40.285
205,1030,37.091
207,1040,37.275
209,1050,36.624
211,1060,36.996
213,1070,37.928
215,1080,35.09
217,1090,37.527
219,1100,36.303
221,1110,30.891
223,1120,35.292
225,1130,37.512
227,1140,32.207
229,1150,37.637
231,1160,34.628
233,1170,36.023
235,1180,35.446
237,1190,34.372
239,1200,37.131
241,1210,32.013
243,1220,36.573
245,1230,36.611
247,1240,37.219
249,1250,36.458
251,1260,35.809
253,1270,39.144
255,1280,38.702
257,1290,38.491
259,1300,36.194
261,1310,31.816
263,1320,34.352
265,1330,37.029
267,1340,36.511
269,1350,34.106
271,1360,38.285
273,1370,38.854
275,1380,36.305
277,1390,35.465
279,1400,34.13
281,1410,34.847
283,1420,35.098
285,1430,37.325
287,1440,32.355
289,1450,31.381
291,1460,29.461
293,1470,35.236
295,1480,34.138
297,1490,36.042
299,1500,37.283
301,1510,28.901
303,1520,35.46
305,1530,33.259
307,1540,34.186
309,1550,39.558
311,1560,35.491
313,1570,34.174
315,1580,34.739
317,1590,35.357
319,1600,37.703
321,1610,33.162
323,1620,33.856
325,1630,34.917
327,1640,36.184
329,1650,32.983
331,1660,37.139
333,1670,33.536
335,1680,37.649
337,1690,37.307
339,1700,35.05
341,1710,32.275
343,1720,32.66
345,1730,34.137
347,1740,33.877
349,1750,33.621
351,1760,36.147
353,1770,34.674
355,1780,37.842
357,1790,37.238
359,1800,37.019
361,1810,32.684
363,1820,34.066
365,1830,37.195
367,1840,35.198
369,1850,35.177
371,1860,34.985
373,1870,36.153
375,1880,35.541
377,1890,36.404
379,1900,34.313
381,1910,36.226
383,1920,33.386
385,1930,34.055
387,1940,31.007
389,1950,40.863
391,1960,35.833
393,1970,32.602
395,1980,35.406
397,1990,30.889
399,2000,33.529
401,2010,35.983
403,2020,35.311
405,2030,31.818
407,2040,36.638
409,2050,37.844
411,2060,36.494
413,2070,37.566
415,2080,36.978
417,2090,33.499
419,2100,33.071
421,2110,36.872
423,2120,31.411
425,2130,40.835
427,2140,30.077
429,2150,36.439
431,2160,33.676
433,2170,34.185
435,2180,28.44
437,2190,34.627
439,2200,39.057
441,2210,33.711
443,2220,32.101
445,2230,37.522
447,2240,33.988
449,2250,34.397
451,2260,32.378
453,2270,35.279
455,2280,36.372
457,2290,28.212
459,2300,38.975
461,2310,33.703
463,2320,36.682
465,2330,31.99
467,2340,31.244
469,2350,31.499
471,2360,35.076
473,2370,28.039
475,2380,31.047
477,2390,35.949
479,2400,32.156
481,2410,35.085
483,2420,35.4
485,2430,32.904
487,2440,34.031
489,2450,34.731
491,2460,29.812
493,2470,34.879
495,2480,36.669
497,2490,35.476
499,2500,36.673
501,2510,39.584
503,2520,31.967
505,2530,35.252
507,2540,34.894
509,2550,34.247
511,2560,30.856
513,2570,29.74
515,2580,33.181
517,2590,31.984
519,2600,35.842
521,2610,34.525
523,2620,33.302
525,2630,33.772
527,2640,37.774
529,2650,31.45
531,2660,37.254
533,2670,34.375
535,2680,31.987
537,2690,32.689
539,2700,29.026
541,2710,33.991
543,2720,39.611
545,2730,35.301
547,2740,34.573
549,2750,35.577
551,2760,38.229
