episode,timestep,reward
1,10,31.57
3,20,38.165
5,30,36.367
7,40,35.393
9,50,31.117
11,60,34.779
13,70,35.039
15,80,36.017
17,90,34.945
19,100,34.581
21,110,37.43
23,120,37.072
25,130,39.393
27,140,37.098
29,150,39.865
31,160,39.025
33,170,36.138
35,180,35.097
37,190,37.493
39,200,33.513
41,210,40.27
43,220,41.67
45,230,35.287
47,240,37.232
49,250,32.065
51,260,36.838
53,270,39.316
55,280,35.377
57,290,34.713
59,300,34.889
61,310,37.156
63,320,37.209
65,330,36.938
67,340,31.895
69,350,37.677
71,360,32.554
73,370,34.018
75,380,34.642
77,390,37.989
79,400,40.539
81,410,37.909
83,420,42.244
85,430,35.413
87,440,39.169
89,450,37.406
91,460,31.449
93,470,34.916
