episode,timestep,reward
1,10,35.5
3,20,39.578
5,30,41.651
7,40,40.546
9,50,41.503
11,60,39.334
13,70,44.378
15,80,42.883
17,90,36.549
19,100,42.886
21,110,39.444
23,120,40.395
25,130,42.959
27,140,38.615
29,150,44.343
31,160,38.405
33,170,38.411
35,180,42.278
37,190,38.95
39,200,41.448
41,210,39.655
43,220,40.31
45,230,42.693
47,240,38.06
49,250,41.744
51,260,41.534
53,270,39.789
55,280,39.785
57,290,38.917
59,300,39.539
61,310,37.476
63,320,41.384
65,330,38.526
67,340,34.16
69,350,38.909
71,360,40.99
73,370,40.312
75,380,33.708
77,390,42.106
79,400,36.992
81,410,42.252
83,420,39.129
85,430,39.672
87,440,39.63
89,450,41.457
91,460,41.01
93,470,39.644
95,480,38.169
97,490,37.68
99,500,41.309
101,510,39.257
103,520,38.234
105,530,37.264
107,540,42.572
109,550,41.567
111,560,40.926
113,570,41.653
115,580,44.786
117,590,41.539
119,600,41.85
121,610,41.795
123,620,40.137
125,630,41.652
127,640,41.503
129,650,41.574
131,660,41.493
133,670,40.182
135,680,42.376
137,690,41.444
139,700,38.386
141,710,37.389
143,720,40.339
145,730,38.793
147,740,39.605
149,750,40.331
151,760,43.493
153,770,41.685
155,780,44.876
157,790,42.255
159,800,43.0
161,810,43.494
163,820,42.222
165,830,39.713
167,840,47.029
169,850,40.726
171,860,44.245
173,870,42.56
175,880,41.218
177,890,43.48
179,900,40.347
181,910,37.833
183,920,40.337
185,930,41.386
187,940,43.869
189,950,37.253
191,960,41.645
193,970,39.544
195,980,45.333
197,990,41.692
199,1000,42.142
201,1010,42.814
203,1020,42.651
205,1030,40.228
207,1040,46.791
209,1050,43.053
211,1060,44.953
213,1070,46.065
215,1080,41.755
217,1090,43.302
219,1100,42.073
221,1110,40.482
223,1120,44.906
225,1130,43.717
227,1140,41.871
229,1150,44.044
231,1160,43.384
233,1170,41.596
235,1180,39.098
237,1190,42.178
239,1200,40.987
241,1210,39.432
243,1220,39.926
245,1230,44.3
247,1240,42.349
249,1250,39.733
251,1260,38.404
253,1270,40.954
255,1280,42.618
257,1290,41.136
259,1300,42.377
261,1310,42.516
263,1320,43.986
265,1330,42.567
267,1340,45.922
269,1350,44.469
271,1360,44.832
273,1370,41.81
275,1380,43.685
277,1390,39.745
279,1400,43.639
281,1410,43.842
283,1420,41.761
285,1430,43.26
287,1440,43.95
289,1450,41.577
291,1460,40.838
293,1470,39.76
295,1480,43.882
297,1490,45.147
299,1500,44.701
301,1510,42.279
303,1520,44.308
305,1530,39.26
307,1540,42.809
309,1550,41.957
311,1560,44.23
313,1570,43.143
315,1580,42.447
317,1590,41.253
319,1600,44.085
321,1610,44.173
323,1620,41.012
325,1630,43.294
327,1640,43.408
329,1650,40.036
331,1660,42.069
333,1670,45.072
335,1680,40.25
337,1690,44.843
339,1700,41.165
341,1710,44.037
343,1720,40.112
345,1730,42.035
347,1740,40.175
349,1750,39.773
351,1760,38.97
353,1770,41.597
355,1780,43.756
357,1790,41.831
359,1800,41.217
361,1810,37.078
363,1820,40.586
365,1830,41.678
367,1840,39.478
369,1850,44.241
371,1860,42.145
373,1870,44.624
375,1880,44.837
377,1890,42.695
379,1900,40.333
381,1910,42.108
383,1920,41.146
385,1930,43.113
387,1940,43.457
389,1950,44.465
391,1960,38.741
393,1970,42.237
395,1980,43.898
397,1990,43.693
399,2000,42.62
401,2010,44.625
403,2020,38.743
405,2030,37.415
407,2040,42.783
409,2050,45.624
411,2060,39.804
413,2070,40.379
415,2080,42.115
417,2090,40.302
419,2100,40.448
421,2110,41.495
423,2120,41.053
425,2130,44.348
427,2140,42.013
429,2150,39.592
431,2160,40.849
433,2170,41.926
435,2180,44.579
437,2190,40.494
439,2200,42.594
441,2210,44.918
443,2220,39.105
445,2230,43.386
447,2240,41.585
449,2250,40.977
451,2260,38.88
453,2270,40.721
455,2280,45.706
457,2290,41.271
459,2300,43.139
461,2310,36.093
463,2320,42.963
465,2330,37.849
467,2340,38.942
469,2350,39.477
471,2360,40.099
473,2370,39.723
475,2380,41.197
477,2390,41.117
479,2400,42.136
481,2410,41.326
483,2420,37.899
485,2430,45.123
487,2440,37.922
489,2450,38.707
491,2460,38.217
493,2470,40.189
495,2480,39.885
497,2490,43.795
499,2500,40.281
501,2510,42.358
503,2520,38.609
505,2530,42.575
507,2540,38.541
509,2550,38.775
511,2560,42.854
513,2570,44.003
515,2580,40.313
517,2590,41.392
519,2600,41.117
521,2610,38.49
523,2620,37.742
525,2630,42.427
527,2640,38.741
529,2650,38.134
531,2660,40.95
533,2670,42.074
535,2680,40.919
537,2690,39.236
539,2700,40.524
541,2710,37.877
543,2720,40.53
545,2730,39.866
547,2740,37.545
549,2750,42.454
551,2760,39.609
553,2770,40.783
555,2780,42.861
557,2790,45.19
559,2800,41.675
561,2810,34.859
563,2820,44.268
565,2830,37.47
567,2840,39.424
569,2850,40.498
571,2860,43.447
573,2870,41.731
575,2880,42.517
577,2890,34.904
579,2900,41.445
581,2910,40.8
583,2920,41.299
585,2930,42.469
587,2940,40.662
589,2950,36.042
591,2960,40.39
593,2970,38.209
595,2980,38.849
597,2990,39.06
599,3000,37.939
601,3010,41.445
603,3020,44.345
605,3030,37.496
607,3040,40.792
609,3050,36.443
611,3060,41.69
613,3070,42.767
615,3080,41.488
617,3090,36.722
619,3100,43.49
621,3110,38.338
623,3120,36.757
625,3130,40.369
627,3140,38.149
629,3150,40.298
631,3160,40.426
633,3170,43.309
635,3180,37.8
637,3190,38.085
639,3200,39.585
641,3210,40.462
643,3220,37.082
645,3230,41.207
647,3240,42.271
649,3250,40.3
651,3260,42.266
653,3270,40.506
655,3280,42.098
657,3290,40.875
659,3300,39.777
661,3310,41.064
663,3320,40.952
665,3330,40.349
667,3340,38.009
669,3350,39.741
671,3360,38.971
673,3370,41.572
675,3380,41.5
677,3390,39.168
679,3400,40.756
681,3410,37.656
683,3420,40.416
685,3430,41.689
687,3440,44.714
689,3450,40.059
691,3460,38.877
693,3470,39.768
695,3480,40.562
697,3490,42.021
699,3500,43.026
701,3510,39.309
703,3520,42.054
705,3530,44.477
707,3540,39.626
709,3550,38.816
711,3560,39.268
713,3570,41.205
715,3580,38.684
717,3590,40.419
719,3600,37.784
721,3610,43.514
723,3620,41.537
725,3630,40.235
727,3640,41.25
729,3650,44.294
731,3660,43.812
733,3670,40.175
735,3680,43.677
737,3690,45.641
739,3700,43.006
741,3710,41.403
743,3720,41.07
745,3730,42.968
747,3740,43.868
749,3750,43.538
751,3760,43.589
753,3770,41.266
755,3780,43.46
757,3790,42.521
759,3800,42.302
761,3810,43.287
763,3820,45.439
765,3830,43.239
767,3840,43.93
769,3850,44.211
771,3860,41.79
773,3870,40.922
775,3880,40.784
777,3890,43.373
779,3900,41.141
781,3910,40.121
783,3920,43.078
785,3930,40.685
787,3940,43.906
789,3950,43.071
791,3960,44.139
793,3970,41.127
795,3980,38.86
797,3990,43.34
799,4000,44.206
801,4010,44.531
803,4020,43.541
805,4030,38.963
807,4040,38.835
809,4050,40.762
811,4060,35.66
813,4070,43.339
815,4080,40.258
817,4090,42.74
819,4100,38.36
821,4110,41.607
823,4120,41.908
825,4130,43.852
827,4140,42.996
829,4150,45.871
831,4160,39.356
833,4170,41.396
835,4180,45.636
837,4190,44.103
839,4200,42.08
841,4210,38.805
843,4220,44.019
845,4230,46.433
847,4240,42.46
849,4250,43.25
851,4260,42.768
853,4270,40.544
855,4280,42.903
857,4290,35.768
859,4300,41.465
861,4310,46.931
863,4320,45.44
865,4330,44.218
867,4340,43.915
869,4350,41.59
871,4360,40.304
873,4370,45.926
875,4380,45.934
877,4390,42.219
879,4400,43.643
881,4410,44.089
883,4420,44.848
885,4430,43.01
887,4440,44.974
889,4450,46.096
891,4460,46.825
893,4470,42.158
895,4480,42.685
897,4490,44.731
899,4500,46.425
901,4510,44.429
903,4520,46.067
905,4530,44.41
907,4540,44.159
909,4550,41.51
911,4560,46.309
913,4570,45.991
915,4580,41.901
917,4590,42.645
919,4600,43.979
921,4610,43.441
923,4620,41.965
925,4630,41.294
927,4640,43.282
929,4650,45.702
931,4660,42.885
933,4670,46.215
935,4680,44.638
937,4690,45.563
939,4700,43.134
941,4710,44.384
943,4720,44.461
945,4730,45.75
947,4740,41.983
949,4750,42.29
951,4760,47.258
953,4770,40.974
955,4780,42.895
957,4790,43.117
959,4800,42.8
961,4810,42.746
963,4820,47.574
965,4830,41.26
967,4840,43.987
969,4850,43.841
971,4860,42.852
973,4870,45.195
975,4880,45.014
977,4890,44.35
979,4900,44.814
981,4910,43.134
983,4920,43.344
985,4930,42.716
987,4940,45.959
989,4950,44.358
991,4960,44.214
993,4970,38.031
995,4980,44.971
997,4990,46.36
999,5000,44.545
1001,5010,46.929
1003,5020,44.221
1005,5030,43.517
1007,5040,45.422
1009,5050,44.294
1011,5060,45.498
1013,5070,41.975
1015,5080,43.528
1017,5090,44.572
1019,5100,44.778
1021,5110,43.151
1023,5120,45.02
1025,5130,43.701
1027,5140,47.153
1029,5150,43.508
1031,5160,43.322
1033,5170,43.729
1035,5180,45.412
1037,5190,41.025
1039,5200,42.53
1041,5210,45.298
1043,5220,41.481
1045,5230,43.801
1047,5240,42.6
1049,5250,43.592
1051,5260,46.039
1053,5270,42.213
1055,5280,42.076
1057,5290,43.375
1059,5300,42.223
1061,5310,43.415
1063,5320,44.327
1065,5330,41.807
1067,5340,42.296
1069,5350,45.364
1071,5360,44.101
1073,5370,43.76
1075,5380,41.696
1077,5390,45.222
1079,5400,42.249
1081,5410,41.614
1083,5420,41.601
1085,5430,42.979
1087,5440,46.159
1089,5450,42.985
1091,5460,43.707
1093,5470,41.898
1095,5480,41.064
1097,5490,42.149
1099,5500,45.45
1101,5510,42.963
1103,5520,42.742
1105,5530,41.118
1107,5540,44.258
1109,5550,39.735
1111,5560,41.96
1113,5570,45.063
1115,5580,41.529
1117,5590,40.199
1119,5600,41.267
1121,5610,42.396
1123,5620,42.317
1125,5630,44.641
1127,5640,45.3
1129,5650,41.093
1131,5660,44.667
1133,5670,43.128
1135,5680,38.165
1137,5690,43.428
1139,5700,40.727
1141,5710,41.199
1143,5720,38.66
1145,5730,40.477
1147,5740,45.558
1149,5750,42.66
1151,5760,42.742
