20

0 20 21 0 2 0 0 4 27 28 48 0 0 0 0 0 33 27 27 42
20 0 2 4 0 22 43 0 17 0 0 28 49 0 0 29 0 34 6 44
21 2 0 11 46 20 0 0 0 0 29 43 0 15 21 0 0 6 0 18
0 4 11 0 0 40 31 43 32 29 19 2 0 46 40 0 24 6 40 0
2 0 46 0 0 8 20 7 0 0 0 0 0 14 0 28 0 48 17 0
0 22 20 40 8 0 0 0 0 48 40 0 39 0 0 0 0 0 0 44
0 43 0 31 20 0 0 21 1 2 0 0 13 41 0 14 48 33 10 0
4 0 0 43 7 0 21 0 0 0 41 5 15 43 0 35 0 0 0 27
27 17 0 32 0 0 1 0 0 0 0 35 10 0 41 0 0 33 0 0
28 0 0 29 0 48 2 0 0 0 12 17 0 0 7 0 0 49 33 29
48 0 29 19 0 40 0 41 0 12 0 38 18 0 0 0 21 43 3 12
0 28 43 2 0 0 0 5 35 17 38 0 21 31 39 29 25 36 5 47
0 49 0 0 0 39 13 15 10 0 18 21 0 0 48 0 0 10 34 28
0 0 15 46 14 0 41 43 0 0 0 31 0 0 0 28 27 1 0 0
0 0 21 40 0 0 0 0 41 7 0 39 48 0 0 0 0 0 0 0
0 29 0 0 28 0 14 35 0 0 0 29 0 28 0 0 0 2 0 21
33 0 0 24 0 0 48 0 0 0 21 25 0 27 0 0 0 5 14 0
27 34 6 6 48 0 33 0 33 49 43 36 10 1 0 2 5 0 0 37
27 6 0 40 17 0 10 0 0 33 3 5 34 0 0 0 14 0 0 0
42 44 18 0 0 44 0 27 0 29 12 47 28 0 0 21 0 37 0 0

0 30 0 0 0 34 17 12 38 44 0 0 0 7 0 42 0 0 22 43
30 0 0 43 0 27 48 0 20 38 39 0 12 3 2 0 48 15 49 13
0 0 0 27 14 40 0 5 0 21 42 0 29 0 18 0 48 31 14 36
0 43 27 0 0 0 32 35 25 0 48 0 0 0 39 33 43 12 28 27
0 0 14 0 0 0 0 43 35 0 0 0 0 1 20 0 0 28 22 17
34 27 40 0 0 0 9 0 46 0 4 7 0 0 9 37 25 21 4 0
17 48 0 32 0 9 0 0 25 0 8 0 0 0 18 41 0 22 46 46
12 0 5 35 43 0 0 0 42 36 5 26 2 0 10 24 3 8 37 7
38 20 0 25 35 46 25 42 0 0 33 6 39 14 0 16 0 0 0 0
44 38 21 0 0 0 0 36 0 0 0 7 0 32 15 17 25 6 24 0
0 39 42 48 0 4 8 5 33 0 0 0 33 10 46 25 0 0 0 48
0 0 0 0 0 7 0 26 6 7 0 0 0 0 45 0 0 0 0 0
0 12 29 0 0 0 0 2 39 0 33 0 0 46 0 4 0 38 29 0
7 3 0 0 1 0 0 0 14 32 10 0 46 0 49 19 30 7 0 18
0 2 18 39 20 9 18 10 0 15 46 45 0 49 0 19 48 0 17 0
42 0 0 33 0 37 41 24 16 17 25 0 4 19 19 0 35 0 0 25
0 48 48 43 0 25 0 3 0 25 0 0 0 30 48 35 0 0 10 0
0 15 31 12 28 21 22 8 0 6 0 0 38 7 0 0 0 0 42 36
22 49 14 28 22 4 46 37 0 24 0 0 29 0 17 0 10 42 0 9
43 13 36 27 17 0 46 7 0 0 48 0 0 18 0 25 0 36 9 0

