30

0 13 25 3 0 41 39 0 0 45 0 0 25 33 4 0 9 29 27 2 17 0 0 0 39 0 32 31 43 0
13 0 0 7 24 13 30 44 0 0 40 0 2 11 0 28 0 0 24 0 0 0 29 29 43 32 6 0 41 23
25 0 0 0 46 0 45 18 48 0 0 48 0 24 18 47 33 0 0 17 0 15 0 0 0 40 17 0 0 3
3 7 0 0 0 0 29 27 21 0 12 0 47 38 0 35 36 0 43 42 23 27 0 0 0 39 0 0 42 39
0 24 46 0 0 37 39 0 16 41 14 47 45 38 38 0 8 0 49 0 0 40 19 0 18 0 46 23 0 26
41 13 0 0 37 0 0 34 0 0 48 20 0 0 10 0 12 41 40 0 13 0 49 21 0 0 9 38 0 42
39 30 45 29 39 0 0 0 0 38 28 11 13 4 48 49 19 0 17 0 0 0 13 15 0 4 0 0 7 24
0 44 18 27 0 34 0 0 37 0 0 0 16 0 0 0 0 11 0 0 35 4 0 45 35 22 7 7 0 40
0 0 48 21 16 0 0 37 0 47 17 14 0 28 45 16 19 0 38 0 44 31 0 0 16 43 0 9 32 9
45 0 0 0 41 0 38 0 47 0 0 0 26 20 25 0 7 19 22 0 47 20 9 24 14 0 0 47 0 0
0 40 0 12 14 48 28 0 17 0 0 16 7 0 0 0 0 31 0 14 0 0 0 0 40 4 0 10 32 42
0 0 48 0 47 20 11 0 14 0 16 0 0 0 21 0 48 10 30 47 23 0 0 0 0 0 0 0 0 0
25 2 0 47 45 0 13 16 0 26 7 0 0 23 0 36 33 0 23 29 0 0 4 0 26 10 6 37 0 0
33 11 24 38 38 0 4 0 28 20 0 0 23 0 21 31 19 0 2 0 7 2 17 0 47 14 15 18 9 0
4 0 18 0 38 10 48 0 45 25 0 21 0 21 0 32 18 0 41 35 0 44 29 11 36 0 0 0 4 30
0 28 47 35 0 0 49 0 16 0 0 0 36 31 32 0 0 0 0 45 14 20 4 22 6 0 0 0 1 0
9 0 33 36 8 12 19 0 19 7 0 48 33 19 18 0 0 34 15 30 18 22 37 0 9 12 12 22 0 0
29 0 0 0 0 41 0 11 0 19 31 10 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 14 0 0
27 24 0 43 49 40 17 0 38 22 0 30 23 2 41 0 15 0 0 43 0 14 44 6 16 31 13 0 0 0
2 0 17 42 0 0 0 0 0 0 14 47 29 0 35 45 30 0 43 0 4 0 27 0 42 35 30 41 33 43
17 0 0 23 0 13 0 35 44 47 0 23 0 7 0 14 18 0 0 4 0 24 49 0 0 41 49 5 0 9
0 0 15 27 40 0 0 4 31 20 0 0 0 2 44 20 22 0 14 0 24 0 26 0 26 31 10 8 0 49
